case_id,y_0,y_1,y_2,y_3,y_4,y_5
case_d77f90b8,0,0,1,1,1,1
case_33ad17e8,1,1,1,0,1,1
case_231329eb,1,1,1,1,1,1
case_01c4116d,0,1,0,1,1,0
case_07e9ce96,1,0,1,1,0,0
case_507ba4fe,1,1,1,1,1,1
case_2cb3cc79,1,1,1,1,1,1
case_f7d00bc5,0,1,1,1,1,1
case_32fff714,0,1,1,1,1,1
case_811c146c,1,0,1,1,1,1
case_587d68d9,1,1,1,0,1,1
case_0e498e39,0,0,1,1,0,0
case_142902e4,1,0,0,1,1,0
case_34e54aba,0,1,1,1,1,1
case_2e3e3e60,1,1,1,1,1,0
case_6fd67755,0,1,1,1,1,0
case_8201f783,1,1,1,1,1,1
case_860a27aa,1,1,1,1,1,1
case_53462568,1,1,1,1,1,0
case_387e71b2,1,1,1,0,1,1
case_cd9a0ccc,1,1,0,1,1,1
case_9dbacaf4,1,0,1,0,1,1
case_8258e369,0,0,1,1,0,0
case_305ec2ed,0,1,0,1,1,1
case_7d5b31e0,0,0,0,0,1,0
case_25d20083,0,1,1,1,0,1
case_b7335b9c,1,1,1,1,1,1
case_63c39505,1,1,1,1,1,1
case_876a186e,1,1,1,1,1,1
case_10a71ea0,1,1,0,1,1,1
case_2a46e75e,1,1,1,0,1,0
case_10b4a21d,0,0,1,1,1,1
case_083e1578,1,1,1,1,0,1
case_c5702993,0,0,1,0,1,0
case_26b90a30,1,0,1,1,0,1
case_a1aabe54,0,1,1,0,1,1
case_efb49d99,1,1,1,0,0,1
case_ec139001,1,0,1,1,1,1
case_e4837e08,1,1,1,1,1,1
case_21998e0e,0,1,1,1,0,1
case_1a48ce69,1,1,1,1,0,1
case_37272f14,1,1,1,0,1,1
case_16aaedb1,1,1,0,0,1,0
case_17eb4658,1,1,1,1,0,1
case_a21f5f92,1,1,1,1,1,1
case_6438e065,1,1,1,1,1,1
case_fda6eab1,1,0,1,1,1,1
case_f655c182,0,0,0,0,1,0
case_a784671b,1,1,1,1,1,0
case_bb3f49f5,1,0,1,1,0,1
case_b7139253,0,1,1,1,1,1
case_9b1ce0fb,0,0,0,0,1,1
case_393458a1,1,1,1,1,1,1
case_f31d5c89,1,0,1,1,0,1
case_9e4c37ff,1,0,1,0,0,0
case_d81b05dc,0,1,1,1,0,1
case_0f303f0a,0,0,1,0,0,0
case_a929bfda,1,1,1,1,1,1
case_5560f2bb,1,1,1,1,1,1
case_48cc0bc1,0,0,0,0,1,1
case_b1ffb3da,0,1,1,0,1,1
case_da0d23c8,0,1,1,1,1,1
case_448614f3,0,1,1,1,1,1
case_0deec665,0,1,1,1,1,1
case_da5efcb9,0,0,0,0,1,1
case_d4876da8,0,1,1,1,1,1
case_c3f3a888,0,0,1,0,0,1
case_096c88ad,1,1,1,1,1,1
case_da0de66a,0,1,1,1,0,1
case_b60e0598,1,0,1,0,1,0
case_f2d57466,1,1,1,1,1,1
case_b051e852,1,0,1,1,1,1
case_51b44bf0,0,1,1,1,0,1
case_896b8870,1,1,1,1,1,1
case_9d41e3fa,0,0,1,0,0,0
case_b452d55b,0,0,1,1,1,1
case_c8a01351,1,1,1,0,1,1
case_2a38ec50,1,1,1,1,1,1
case_4d16d34b,0,0,0,1,1,1
case_69e533b8,1,0,1,0,1,1
case_e14acf1b,1,1,1,1,1,1
case_a5b2ae55,0,1,1,0,1,1
case_6111f9fd,1,1,1,1,1,1
case_3ffd0967,1,1,1,0,1,1
case_fff5a6c9,0,1,1,0,0,1
case_f2ba37d1,1,1,1,1,1,1
case_3e4b31b2,0,1,1,0,0,1
case_4e474f40,0,0,1,1,1,1
case_3c5a9651,1,0,0,0,1,1
case_1b3f915c,1,1,1,1,0,1
case_7e87c062,0,0,1,1,1,0
case_b699fbd6,0,0,1,1,1,0
case_970b6723,1,1,1,1,1,0
case_ae73d7f4,1,1,1,1,1,1
case_62ef6bde,1,1,1,1,1,1
case_84883e44,1,0,1,0,1,0
case_eb3449d7,0,1,1,1,0,1
case_11adc0e8,1,1,1,0,1,1
case_c846b9b5,1,0,1,1,1,1
case_fa5ca7f7,0,0,0,1,0,1
case_ef550102,0,1,1,1,1,0
case_a968f133,0,1,1,1,1,1
case_74a28f9d,1,1,1,0,0,1
case_86272d3c,1,0,1,1,1,1
case_1d028c90,1,1,1,1,1,1
case_f2309e08,1,0,1,0,0,1
case_00b32f3c,1,1,1,0,0,1
case_12684ee4,1,1,1,0,0,1
case_cb807847,1,0,0,1,0,1
case_1f6ea66c,1,0,1,1,1,1
case_24b1160d,0,1,0,1,0,1
case_337aba9d,1,0,1,1,1,1
case_0719ca9b,1,1,1,1,0,1
case_6901091a,1,1,1,1,1,1
case_1c351690,1,1,0,0,1,0
case_2e2ccc3e,1,1,1,1,1,1
case_aae12c38,1,1,1,1,1,1
case_8cfce68c,0,1,1,1,1,1
case_3cb2496e,0,0,0,1,0,1
case_0bb8a567,1,1,1,1,1,1
case_0eea95fc,0,0,0,0,0,1
case_ad26329b,1,0,1,1,0,1
case_f78d102b,1,1,1,1,1,1
case_671027a8,1,0,1,0,1,1
case_95c0a534,1,1,1,1,1,1
case_9faa6856,1,1,1,1,1,1
case_19c079f2,1,1,1,0,1,1
case_9176bb38,1,1,1,1,1,1
case_293e1821,0,1,1,1,1,1
case_9373ba42,1,1,1,0,1,1
case_829b3c24,0,1,1,1,1,1
case_ba719a29,1,0,1,1,0,0
case_cd40ac04,1,1,1,1,1,1
case_f36e1107,1,1,0,1,1,1
case_e3106cad,1,1,1,1,1,1
case_87e734e2,0,1,0,1,1,1
case_29a01039,0,1,1,1,1,1
case_57846a52,1,1,1,1,1,1
case_73b7ec0a,1,0,1,1,1,1
case_76c3854c,1,1,1,1,1,1
case_cdf42795,1,1,1,1,0,1
case_2c43cbeb,1,1,1,1,0,1
case_c45cc700,0,0,1,0,1,0
case_f72e4053,0,1,1,1,1,1
case_fe6a4d60,1,0,1,0,0,0
case_1327a4d2,1,1,1,1,1,1
case_05642a41,1,1,1,0,1,1
case_fbe4c7eb,1,1,0,1,0,1
case_cf7f44c6,1,1,1,0,0,1
case_c27cd8af,0,1,0,0,0,0
case_75a8688b,1,1,1,1,1,1
case_7bc449b3,1,1,1,1,1,1
case_a0b328e1,0,0,1,0,0,1
case_e26333ed,0,0,1,0,0,1
case_4c6de11b,1,1,1,1,1,1
case_5df462cd,1,1,1,1,1,1
case_d31f7ba9,1,1,1,1,1,1
case_2b9e1cd8,1,1,1,1,0,1
case_78d7d97b,1,1,0,1,1,1
case_0488d3a0,1,1,0,1,1,1
case_7568f4ba,1,0,1,1,1,1
case_2165e91f,1,0,1,0,0,1
case_521fd581,0,0,1,1,0,1
case_7777e61c,1,1,1,1,1,1
case_a8ef6107,1,1,1,1,1,1
case_18407da8,1,1,1,1,1,0
case_1f3332cc,1,1,1,1,1,1
case_297dbd9e,0,0,1,1,1,1
case_ec4985eb,0,0,1,0,1,1
case_db1623bb,0,1,1,1,1,0
case_1a65889b,0,1,1,0,1,1
case_3e9234d0,1,0,1,1,1,1
case_ce2f2c8e,1,0,0,0,1,1
case_2f67c29c,0,0,1,1,0,1
case_69a7e6fd,0,1,1,1,0,1
case_7c884fc5,1,1,1,1,1,0
case_04fcc2fd,1,0,1,0,1,1
case_7b44df43,1,0,1,1,1,1
case_4454a4ad,1,1,1,1,1,1
case_f2e44f3a,1,0,1,1,0,0
case_b41fbe9e,0,0,1,1,1,0
case_cb7e8508,0,0,1,1,1,1
case_13236131,1,0,1,0,0,1
case_5ac6d467,0,1,1,1,1,1
case_74a1d32b,1,0,1,0,1,1
case_b1d8eca6,1,0,1,1,1,0
case_b9538556,0,1,1,0,1,1
case_1625ff82,0,1,1,1,0,1
case_30b65fb6,1,1,1,1,1,0
case_842c7796,0,0,1,1,0,1
case_3a1912ae,0,1,0,1,1,1
case_ded28c1d,1,1,1,1,1,1
case_46892e75,1,0,1,0,0,0
case_6f7ddcb0,1,0,1,1,1,1
case_d714b5a6,0,0,1,1,0,1
case_3b7d18d5,1,1,1,0,1,1
case_c3764f7d,1,1,1,1,1,1
case_e6488c14,1,1,1,1,1,1
case_3d93397f,1,0,1,1,1,1
case_cc84c538,0,0,1,1,1,0
case_e63ef3a1,1,0,1,1,0,1
case_aa54706d,1,1,1,1,1,1
case_19c7c405,1,1,1,1,1,1
case_ed41388b,0,0,0,0,0,0
case_5d5b574d,1,0,1,1,1,0
case_1059d2f2,0,0,1,0,1,1
case_1e6e7bca,1,1,1,0,1,1
case_86e64af4,1,1,0,1,1,1
case_5cc283d5,1,1,0,0,1,1
case_0de01e28,1,0,1,1,1,1
case_4eb3028a,1,1,1,1,1,1
case_8307e972,0,0,1,0,1,0
case_561d5c44,1,1,1,1,1,1
case_f27b22d6,1,1,1,1,1,1
case_a371bd66,1,1,1,1,1,1
case_4d6064bf,1,1,1,1,1,1
case_57a62040,0,1,1,1,1,1
case_e671f75d,1,1,1,0,1,1
case_a912cd68,1,0,1,0,0,1
case_96c98a64,1,0,0,1,1,1
case_f9cd74ac,0,1,1,1,1,0
case_0d3ec1c4,1,1,1,1,0,0
case_ea0d6363,1,1,1,1,1,1
case_44969689,0,1,1,1,0,1
case_84877cfb,0,1,1,1,1,1
case_f12d8cf7,0,1,1,0,1,0
case_55b59fd7,0,1,1,1,1,0
case_6619859f,0,1,1,1,1,0
case_d7431141,1,0,1,1,1,0
case_c18a16b0,1,1,1,1,1,0
case_e9d8471b,1,1,1,0,1,1
case_e84f283c,1,1,1,1,1,1
case_47bac214,1,0,1,1,1,0
case_50306552,1,1,1,0,1,1
case_be32b6e6,1,1,1,0,0,1
case_cfb49415,1,1,1,1,1,1
case_8656d2ec,1,1,1,0,1,1
case_1886b2bc,1,0,1,0,1,1
case_e9e9f8b1,1,1,1,1,1,1
case_d64f8166,0,1,1,0,1,1
case_b5854c23,0,0,1,1,0,1
case_2825aab4,1,0,1,1,1,1
case_285ad2a5,1,1,1,1,1,0
case_016a0d9c,0,1,1,1,1,1
case_6fd2fb55,1,1,1,1,1,1
case_3e173eee,0,0,1,1,1,1
case_3993f7ce,1,1,1,1,1,1
case_f6c2aba2,1,0,1,0,0,1
case_1dc0ee9d,0,1,1,1,1,1
case_499f829c,1,0,1,0,1,1
case_dad698de,1,1,1,1,0,1
case_419e435e,1,1,1,1,1,1
case_330b9632,1,0,0,0,0,0
case_28f5fdb6,1,1,1,0,1,1
case_5929a1ab,1,0,1,1,1,1
case_09d366e4,0,1,1,1,1,1
case_8e56000b,1,1,1,0,1,1
case_6582d567,1,1,1,1,0,0
case_9c7579c3,1,1,1,1,1,1
case_f54683e6,1,1,1,1,1,1
case_8ebc9cc6,1,1,1,0,1,1
case_abc7f82c,1,1,1,1,1,1
case_ab93dd0e,1,0,1,1,1,1
case_32b1dad7,0,1,1,1,0,1
case_1ab03e90,1,1,1,1,1,0
case_90dc51dd,0,1,1,0,1,1
case_cb049d72,1,0,1,0,1,1
case_efa724ee,1,0,1,1,0,1
case_740215e6,1,1,1,1,1,1
