case_id,customer_id,amount_paise,payment_method,failure_code,time_since_failure_minutes,incident_id,historical_payment_success_rate,customer_value_band,engagement_score,assigned_action,propensity,eligible_actions,policy_version,y_observed,split
case_11f9f257,cust_e564de24,121362,upi,BANK_TIMEOUT,0,,0.6483180142524505,low,0.7950189672745653,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_acb5c19a,cust_38aaf0f2,72079,upi,INSUFFICIENT_FUNDS,90,,0.7325358972376319,low,0.6241110069418006,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_a4bfb3b8,cust_cec12b36,582432,upi,BANK_TIMEOUT,83,,0.8621897961134706,low,0.26487774382605367,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_ead394e9,cust_2817010d,88165,upi,INSUFFICIENT_FUNDS,1,,1.0,medium,0.43488463068072647,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_60110106,cust_b4ea5c7f,1768551,upi,BANK_TIMEOUT,39,,0.34567653562896483,high,0.4709516229340959,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_deaabdef,cust_c5bf0c6b,107840,netbanking,BANK_DECLINE,56,,0.8704532080848069,low,0.5117543645363494,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_55c26bcc,cust_c2c712f6,83766,card,BANK_DECLINE,68,,0.7398666091571116,low,0.5150261651804802,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_1c32c89b,cust_b924ef3d,25081,upi,NETWORK_ERROR,26,,0.4792543590613517,low,0.24131190922658027,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_a3c941e4,cust_3c9a8af4,75381,upi,INSUFFICIENT_FUNDS,10,,0.5868977319394029,medium,0.21756197277140404,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_e01dce57,cust_88df89c4,25732,netbanking,INSUFFICIENT_FUNDS,10,,0.7977539408949643,low,0.11513480308519058,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_37053169,cust_240a7469,31984,upi,INSUFFICIENT_FUNDS,75,,0.5729488598985908,low,0.9960510378563912,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,test
case_c24e1f8b,cust_b36e326e,103825,upi,BANK_TIMEOUT,17,,0.5359292740129531,low,0.4834808934780847,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,val
case_9c7cdf08,cust_c7a6dd0f,3641,card,BANK_DECLINE,10,,0.7238365449165223,medium,0.7367520779339101,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_a925e728,cust_76864559,25927,upi,INSUFFICIENT_FUNDS,14,,0.775149632684652,low,0.5474628254467726,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_53380c28,cust_91fe0535,149069,netbanking,BANK_TIMEOUT,54,,0.5896960830070984,low,0.2669789163044314,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_78cdec5d,cust_91f76be1,581384,card,BANK_DECLINE,54,,0.684072624108123,low,0.21884072483965744,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_7647c6b6,cust_4a9bdc94,252317,upi,BANK_TIMEOUT,93,,0.6596271497274949,low,0.3312185298127891,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_d897f825,cust_cd363b43,15075,netbanking,BANK_DECLINE,16,,0.5576883097229677,low,0.3311273058333937,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_5dc0ded6,cust_2b086953,52986,netbanking,INSUFFICIENT_FUNDS,6,,0.6540280168994543,low,0.5704968961589205,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,val
case_cf4d8b62,cust_ab0032bc,9684,upi,INSUFFICIENT_FUNDS,20,,0.9847776756323217,low,0.04167394787276876,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_5d8d7ee3,cust_e8ac8d8c,261592,upi,INSUFFICIENT_FUNDS,43,,0.7897651469462706,low,0.5175009267812702,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_01ddd7d7,cust_147d803d,106495,upi,NETWORK_ERROR,41,,0.8382477145483392,low,0.0,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,test
case_73555384,cust_6720f40a,41307,card,INSUFFICIENT_FUNDS,0,,0.7441177726461424,low,0.08226960276786775,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_bddc9570,cust_b7b7f78e,1198096,upi,BANK_TIMEOUT,30,,0.7380901198637062,low,0.8461384407532835,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_69476ba9,cust_a9afd587,608273,upi,INSUFFICIENT_FUNDS,125,,0.7526117339568585,low,0.655085940955122,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,test
case_575a9456,cust_50d7462c,50079,upi,INSUFFICIENT_FUNDS,4,,0.7841477586031946,low,0.3129202050218164,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_f08fa236,cust_5653669d,72731,card,BANK_DECLINE,4,,0.456073378220915,medium,0.49640353499621126,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_ddb95c8e,cust_86f96386,442491,upi,NETWORK_ERROR,2,,0.35924841707806443,low,0.9281681868627768,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_9cf9c153,cust_19ce0e0a,93961,upi,BANK_TIMEOUT,21,,1.0,low,0.33681803735770677,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_39f19668,cust_5e3784f2,642077,upi,BANK_TIMEOUT,20,,0.7214948154928678,medium,0.29727704686694656,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,test
case_9e4c88b9,cust_0d8690cf,378676,upi,BANK_TIMEOUT,0,,0.600877122545542,low,0.4199407935781912,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,val
case_1f7c8fd1,cust_2bb78fd2,583642,upi,BANK_TIMEOUT,4,,0.8503095379011066,low,0.3698586119108675,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_a1b7997f,cust_0b45e2fe,113373,upi,INSUFFICIENT_FUNDS,75,,0.6493609039908197,low,0.37817604020875545,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_2409549f,cust_a94a1869,17526,card,BANK_DECLINE,105,,0.9340455270041401,low,0.39032269801170066,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_dfc587a6,cust_787673ca,85773,card,BANK_DECLINE,8,,0.8502677808402433,medium,0.2877307931476464,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_2dfaa64a,cust_f5b8c4b4,17615,card,INSUFFICIENT_FUNDS,28,,1.0,low,0.6110336296113361,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,test
case_a57c6a0b,cust_3f5cad94,30501,upi,INSUFFICIENT_FUNDS,13,,0.5428969236712773,low,0.4656527642010261,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
