case_id,y_0,y_1,y_2,y_3,y_4,y_5
case_1c31e413,0,0,1,1,0,1
case_ae4c4f54,1,0,1,1,0,0
case_c99bd3d6,1,1,1,0,0,0
case_e960085d,1,1,1,1,1,1
case_8d7f7586,1,1,1,1,1,1
case_2d630dc7,1,1,1,1,0,0
case_e2dbe8de,1,1,1,0,1,1
case_6abffa8e,0,1,1,1,1,0
case_f1aea0d4,1,1,1,1,1,1
case_3ab39f26,1,1,1,1,1,1
case_6be3b714,0,1,1,1,1,1
case_7f1e6a36,1,1,1,1,1,1
case_bbaaae70,0,0,1,0,1,1
case_65a71722,0,0,1,0,1,1
case_ad525e35,0,1,1,1,1,1
case_74f06396,1,0,1,1,1,0
case_d2b1b29f,1,1,1,0,1,0
case_1ee3ebbd,1,1,1,1,1,1
case_647c0458,1,1,1,1,1,1
case_b72d7545,0,0,0,0,1,0
case_cf974e0f,1,1,1,1,1,1
case_5c90bc06,0,1,1,1,1,0
case_c108a2d1,1,1,1,1,1,1
case_41c097d6,1,1,1,1,1,0
case_1b850f59,1,0,1,1,1,1
case_2d1c1d29,0,0,0,1,0,1
case_90ba1dc6,0,1,0,1,1,1
case_de51597f,1,0,0,1,1,0
case_85df3d97,0,1,1,1,1,1
case_8651cb5b,1,1,1,1,0,1
case_6510a9b7,0,0,1,1,1,1
case_f792c640,1,0,1,1,1,1
case_69921185,0,0,1,0,1,0
case_09a21ca5,0,1,0,1,1,1
case_323082d8,0,0,1,1,1,1
case_9654266b,1,1,1,1,1,1
case_313a72d5,1,1,1,1,1,1
case_b2d473db,1,1,0,1,0,1
case_b38473e7,1,1,1,1,1,0
case_d99a3413,0,1,0,1,0,1
case_7a0fb9f1,0,0,1,0,1,0
case_7cff0716,0,0,0,1,0,0
case_f6723826,0,0,1,1,1,1
case_86b091f7,1,1,1,1,1,1
case_bf5eac60,1,0,1,0,1,1
case_3666718b,1,1,1,1,1,1
case_381d118e,1,0,1,1,0,1
case_ec89f1ed,1,1,1,1,1,1
case_406f4573,0,0,1,0,0,0
case_56423b4f,0,1,1,0,1,1
case_508575c7,0,1,1,0,1,1
case_4e2169de,1,1,0,0,0,1
case_c9f5fed8,1,1,1,1,1,1
case_ff841f36,1,1,1,1,1,0
case_352538d7,0,1,1,1,0,1
case_3f49a0e5,1,1,1,1,1,1
case_d6a168d0,0,1,1,0,1,1
case_0577e156,1,1,1,1,0,1
case_3c1d83a6,0,0,1,1,1,0
case_6db09e62,1,1,1,0,0,0
case_47eb8b53,1,0,1,1,1,1
case_6f424109,1,0,1,0,0,0
case_43af18b4,0,1,1,1,1,1
case_615b9d30,1,1,1,1,1,1
case_8fecee20,0,0,1,0,1,1
case_c8e8c569,0,1,1,1,0,1
case_78836510,1,1,1,1,0,1
case_cb218995,1,1,1,1,1,1
case_4268d0e8,0,1,1,0,1,0
case_a6470342,0,1,1,0,0,1
case_274c11f8,1,1,1,1,1,1
case_b93f9a6a,0,0,1,1,0,0
case_8cdd2e12,0,0,1,0,1,0
case_4260b663,1,0,1,1,1,1
case_7036d14b,1,1,1,1,1,0
case_2d481b43,0,0,1,0,0,0
case_3584ca26,1,1,1,1,1,1
case_e2ed88ce,0,1,1,1,1,1
case_fec74500,1,1,0,1,1,1
case_539083e8,1,1,1,1,1,1
case_3c98a529,0,1,1,1,1,1
case_dae020f0,1,1,1,1,1,1
case_018c262c,1,0,1,1,0,1
case_1dbbcb46,0,0,1,1,0,1
case_1cd972dc,0,0,0,0,0,1
case_b2954a74,1,1,1,1,1,1
case_d7bc241c,1,1,1,1,1,1
case_0675b837,1,1,1,0,1,1
case_be8fb5b7,1,0,1,1,1,1
case_07a62021,0,1,1,1,1,1
case_43bcd59b,1,0,1,1,1,1
case_6e8bc525,1,1,1,1,1,1
case_05199af9,1,1,1,0,1,1
case_88836de2,1,0,1,1,0,1
case_de0bb966,1,0,1,1,1,1
case_b311d880,1,1,1,1,1,1
case_066caca3,0,1,1,1,1,0
case_b82f7788,1,0,1,1,0,0
case_486b6c90,0,1,1,1,1,1
case_de1e8b9e,1,1,1,1,1,0
case_b0604d8c,1,1,1,0,1,1
case_eb003510,1,0,1,1,1,1
case_3bd63525,1,1,1,1,1,1
case_4f73e660,1,1,1,1,1,1
case_9ee8017c,0,1,1,0,1,1
case_30f01e5c,1,1,1,1,1,1
case_0cafd254,0,0,1,1,0,0
case_a3b211eb,1,1,1,1,1,1
case_8ce75fae,1,1,1,1,1,1
case_6613c88f,1,0,1,1,1,1
case_b9089c04,1,0,1,1,1,1
case_4e9560d0,1,1,1,0,1,1
case_490cb414,1,1,1,1,1,0
case_4d976fd0,0,1,1,1,1,1
case_5220836f,0,1,1,1,1,1
case_08c76462,0,1,1,1,1,1
case_04078932,1,1,1,1,1,1
case_bb5a369c,1,1,1,1,0,0
case_fd08d9a0,0,1,1,0,0,1
case_b72fcb81,1,0,1,0,1,1
case_6f9c231f,0,1,1,1,1,0
case_daf1abad,1,1,1,0,1,1
case_1a2bfc7f,0,1,0,1,1,1
case_b13ee217,0,0,1,0,0,1
case_c31371e2,1,1,1,1,1,1
case_e55eb3cb,1,0,1,1,1,1
case_082c9bde,0,1,1,1,1,1
case_afb747fb,0,0,1,0,0,0
case_c6ff8260,1,0,1,1,1,0
case_f88746fd,0,0,0,0,0,1
case_2c29aa09,0,0,1,0,0,0
case_6926748e,0,1,1,1,1,1
case_b0b74724,1,1,1,1,1,1
case_6303e1b7,1,1,1,1,1,1
