case_id,customer_id,amount_paise,payment_method,failure_code,time_since_failure_minutes,incident_id,historical_payment_success_rate,customer_value_band,engagement_score,assigned_action,propensity,eligible_actions,policy_version,y_observed,split
case_8f85f251,cust_ccb2f4d8,45264,card,INSUFFICIENT_FUNDS,84,,0.490620557313583,low,0.3590318716538637,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,test
case_640915e6,cust_49eab801,103196,upi,NETWORK_ERROR,13,,0.7769055126686086,low,0.4796501133838072,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_8c2026b5,cust_f6609257,152582,upi,BANK_TIMEOUT,1,,0.7890267623392241,low,0.28055516043957474,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_654d21a6,cust_f197eb50,738037,card,INSUFFICIENT_FUNDS,9,,0.7617730106849073,medium,0.6219843828666912,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_8ae10dc5,cust_8b85af5a,254232,upi,BANK_TIMEOUT,23,,0.9182771679101757,medium,0.40188442708685074,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_dfc3cf1d,cust_edfd7ba6,308163,card,INSUFFICIENT_FUNDS,11,,1.0,high,0.5727550856391853,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,val
case_013afc6c,cust_6192e631,46247,card,BANK_DECLINE,94,,0.6374041624422131,high,0.34123030628912876,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_7fcd6d1e,cust_96e54d6b,1573400,upi,INSUFFICIENT_FUNDS,5,,0.6676278392803341,low,0.28560293148000065,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_98ea7fa9,cust_3e7f54ec,238018,upi,INSUFFICIENT_FUNDS,2,,0.5781943797901008,low,0.4338676595169437,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_bf6ef53f,cust_dfcb23aa,64365,upi,INSUFFICIENT_FUNDS,42,,0.974364281693409,low,0.17546628917515256,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_6e30b69f,cust_ecb9feb1,44256,netbanking,BANK_DECLINE,36,,0.4134406632621379,low,0.8267068809083307,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_5599879c,cust_be76eb31,79915,upi,BANK_TIMEOUT,146,,0.7853852301171285,low,0.5327442623967857,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_4aa2db01,cust_5d462237,529439,card,BANK_DECLINE,4,,0.5316301048567186,high,0.2187487926201874,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,test
